"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","不動産取引価格情報","","13102","東京都","中央区","明石町","新富町(東京)",8,60000000,"","１ＬＤＫ",35,"","","","","2017年","ＲＣ","住宅","住宅","","","","２種住居",60,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13102","東京都","中央区","明石町","新富町(東京)",6,37000000,"","２ＬＤＫ",50,"","","","","1978年","ＳＲＣ","住宅","事務所","","","","２種住居",60,400,"2024年第4四半期","未改装",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13102","東京都","中央区","明石町","築地",6,2400000000,"","",410,"","長方形",14,"2,000㎡以上","2024年","ＲＣ","共同住宅","住宅","南西","区道",13,"２種住居",60,400,"2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","商業地","13102","東京都","中央区","入船","八丁堀(東京)",3,40000000,4000000,"",35,1200000,"ほぼ長方形",3.7,"","","","","住宅","南","区道",3,"商業",80,500,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13102","東京都","中央区","入船","八丁堀(東京)",2,19000000,"","１Ｒ",20,"","","","","1982年","ＳＲＣ","店舗","店舗","","","","商業",80,700,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13102","東京都","中央区","入船","八丁堀(東京)",2,28000000,"","１Ｋ",20,"","","","","2003年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","改装済み",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13102","東京都","中央区","勝どき","勝どき",2,93000000,"","",45,"","ほぼ長方形",5,45,"","木造","住宅","店舗","北東","私道",2.7,"２種住居",80,400,"2024年第4四半期","","私道を含む取引"
"中古マンション等","不動産取引価格情報","","13102","東京都","中央区","勝どき","勝どき",6,80000000,"","１ＬＤＫ",50,"","","","","2016年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13102","東京都","中央区","勝どき","勝どき",10,40000000,"","１ＬＤＫ",40,"","","","","1973年","ＳＲＣ","","住宅","","","","１種住居",60,400,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13102","東京都","中央区","勝どき","勝どき",6,80000000,"","１ＬＤＫ",50,"","","","","2016年","ＲＣ","","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13102","東京都","中央区","勝どき","勝どき",2,160000000,"","２ＬＤＫ",60,"","","","","2023年","ＲＣ","住宅","住宅","","","","２種住居",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13102","東京都","中央区","勝どき","勝どき",6,120000000,"","２ＬＤＫ",65,"","","","","2008年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13102","東京都","中央区","勝どき","勝どき",3,180000000,"","２ＬＤＫ",70,"","","","","2023年","ＳＲＣ","住宅","住宅","","","","２種住居",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13102","東京都","中央区","勝どき","勝どき",6,98000000,"","１ＬＤＫ",60,"","","","","2008年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13102","東京都","中央区","勝どき","勝どき",6,160000000,"","４ＬＤＫ",80,"","","","","2016年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","改装済み",""
