"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","上原","代々木上原",6,110000000,"","２ＬＤＫ",75,"","","","","1984年","ＲＣ","","住宅","","","","１低住専",60,150,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","上原","代々木上原",9,550000000,"","３ＬＤＫ",155,"","","","","2001年","ＲＣ","住宅","住宅","","","","１低住専",60,150,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","上原","代々木上原",5,160000000,"","２ＬＤＫ",70,"","","","","2019年","ＲＣ","住宅","住宅","","","","１低住専",60,150,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","上原","代々木上原",4,98000000,"","２ＬＤＫ",50,"","","","","2011年","ＲＣ","住宅","住宅","","","","１低住専",60,150,"2024年第4四半期","改装済み",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13113","東京都","渋谷区","宇田川町","渋谷",9,420000000,"","",90,"","ほぼ長方形",6,270,"1981年","鉄骨造","事務所、倉庫","店舗","南西","区道",7,"近隣商業",80,400,"2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","恵比寿","恵比寿",9,60000000,4900000,"",40,1500000,"不整形",5.7,"","","","","住宅","北東","区道",3,"１種住居",60,300,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","恵比寿","恵比寿",10,620000000,"","",130,"","ほぼ正方形",11.5,410,"2022年","ＲＣ","共同住宅","住宅","南東","私道",3.1,"準工業",60,300,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","恵比寿","恵比寿",12,1400000000,"","",1200,"","ほぼ台形",30,410,"1953年","木造","住宅、店舗","住宅","西","区道",11,"１種住居",60,300,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","恵比寿","恵比寿",9,64000000,"","２ＤＫ",50,"","","","","1987年","ＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","恵比寿","恵比寿",6,14000000,"","１Ｋ",10,"","","","","1984年","ＲＣ","住宅","住宅","","","","近隣商業",80,400,"2024年第4四半期","未改装",""
