"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","荏原中延",9,61000000,4500000,"",45,1400000,"ほぼ長方形",4.9,"","","","","住宅","北","区道",4.2,"準工業",60,300,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","荏原","荏原中延",10,58000000,"","１ＬＤＫ",40,"","","","","2022年","ＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","未改装",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","戸越銀座",8,55000000,3100000,"",60,940000,"ほぼ長方形",8.3,"","","","","住宅","北東","区道",3.3,"１種住居",60,300,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","荏原","戸越銀座",6,25000000,"","１Ｋ",20,"","","","","2004年","ＳＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","荏原","戸越銀座",5,20000000,"","１Ｋ",15,"","","","","1997年","ＳＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","荏原","戸越銀座",5,62000000,"","２ＬＤＫ",55,"","","","","","ＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","荏原","戸越銀座",5,57000000,"","３ＬＤＫ",55,"","","","","1979年","ＳＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","西小山",6,32000000,"","",50,"","長方形",5,55,"1982年","木造","住宅","住宅","北東","私道",2.2,"１種住居",60,300,"2024年第4四半期","","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","西小山",6,75000000,"","",85,"","ほぼ長方形",5.4,65,"1977年","木造","住宅","住宅","南東","私道",4,"１種住居",60,300,"2024年第4四半期","","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","旗の台",8,120000000,"","",110,"","長方形",7.5,"","","","","住宅","南","区道",4.2,"１低住専",60,150,"2024年第4四半期","",""
